"Rule","Resource","IssueCount","Policy"
"cpp:S1003","**/*","2","maintainability-owned-by-local-toolchain"
"cpp:S110","**/*","1","maintainability-owned-by-local-toolchain"
"cpp:S1103","**/*","9","maintainability-owned-by-local-toolchain"
"cpp:S1116","**/*","18","maintainability-owned-by-local-toolchain"
"cpp:S112","**/*","154","maintainability-owned-by-local-toolchain"
"cpp:S1121","**/*","50","maintainability-owned-by-local-toolchain"
"cpp:S1144","**/*","1","maintainability-owned-by-local-toolchain"
"cpp:S1181","**/*","2","maintainability-owned-by-local-toolchain"
"cpp:S1231","**/*","14","maintainability-owned-by-local-toolchain"
"cpp:S1235","**/*","14","maintainability-owned-by-local-toolchain"
"cpp:S1669","**/*","2","maintainability-owned-by-local-toolchain"
"cpp:S1871","**/*","13","maintainability-owned-by-local-toolchain"
"cpp:S1905","**/*","8","maintainability-owned-by-local-toolchain"
"cpp:S2095","DirectXTK/Src/LoaderHelpers.h","1","reviewed-rule-file-compatibility-boundary"
"cpp:S2305","**/*","1","maintainability-owned-by-local-toolchain"
"cpp:S2479","**/*","1","maintainability-owned-by-local-toolchain"
"cpp:S2738","**/*","2","maintainability-owned-by-local-toolchain"
"cpp:S3471","**/*","59","maintainability-owned-by-local-toolchain"
"cpp:S3539","**/*","2","maintainability-owned-by-local-toolchain"
"cpp:S3548","**/*","1","maintainability-owned-by-local-toolchain"
"cpp:S3624","**/*","30","maintainability-owned-by-local-toolchain"
"cpp:S3656","**/*","7","maintainability-owned-by-local-toolchain"
"cpp:S3806","**/*","36","maintainability-owned-by-local-toolchain"
"cpp:S4263","**/*","2","maintainability-owned-by-local-toolchain"
"cpp:S4962","**/*","22","maintainability-owned-by-local-toolchain"
"cpp:S5025","**/*","53","maintainability-owned-by-local-toolchain"
"cpp:S5028","**/*","185","maintainability-owned-by-local-toolchain"
"cpp:S5213","**/*","1","maintainability-owned-by-local-toolchain"
"cpp:S5276","**/*","55","maintainability-owned-by-local-toolchain"
"cpp:S5281","**/*","1","maintainability-owned-by-local-toolchain"
"cpp:S5409","**/*","1","maintainability-owned-by-local-toolchain"
"cpp:S5801","DirectX11/Hunting.cpp","1","reviewed-rule-file-compatibility-boundary"
"cpp:S5801","DirectX11/IniHandler.cpp","3","reviewed-rule-file-compatibility-boundary"
"cpp:S5813","DirectX11/CommandList.cpp","3","reviewed-rule-file-compatibility-boundary"
"cpp:S5813","DirectX11/D3D11Wrapper.cpp","2","reviewed-rule-file-compatibility-boundary"
"cpp:S5813","DirectX11/DLLMainHook.cpp","3","reviewed-rule-file-compatibility-boundary"
"cpp:S5813","DirectX11/FrameAnalysis.cpp","3","reviewed-rule-file-compatibility-boundary"
"cpp:S5813","DirectX11/HackerInputLayout.cpp","1","reviewed-rule-file-compatibility-boundary"
"cpp:S5813","DirectX11/Hunting.cpp","1","reviewed-rule-file-compatibility-boundary"
"cpp:S5813","DirectX11/Overlay.cpp","1","reviewed-rule-file-compatibility-boundary"
"cpp:S5814","DirectX11/CommandList.cpp","3","reviewed-rule-file-compatibility-boundary"
"cpp:S5814","DirectX11/D3D11Wrapper.cpp","1","reviewed-rule-file-compatibility-boundary"
"cpp:S5814","DirectX11/IniHandler.cpp","4","reviewed-rule-file-compatibility-boundary"
"cpp:S5816","HLSLDecompiler/DecompileHLSL.cpp","4","reviewed-rule-file-compatibility-boundary"
"cpp:S5820","**/*","8","maintainability-owned-by-local-toolchain"
"cpp:S5825","**/*","1","maintainability-owned-by-local-toolchain"
"cpp:S5951","**/*","1","maintainability-owned-by-local-toolchain"
"cpp:S5978","**/*","10","maintainability-owned-by-local-toolchain"
"cpp:S6232","DirectX11/profiling.cpp","5","reviewed-rule-file-compatibility-boundary"
"cpp:S7116","**/*","4","maintainability-owned-by-local-toolchain"
"cpp:S7119","iid.cpp","1","reviewed-rule-file-compatibility-boundary"
"cpp:S797","**/*","1","maintainability-owned-by-local-toolchain"
"cpp:S8417","util.cpp","1","reviewed-rule-file-compatibility-boundary"
"cpp:S859","**/*","20","maintainability-owned-by-local-toolchain"
"cpp:S923","**/*","2","maintainability-owned-by-local-toolchain"
"cpp:S936","**/*","24","maintainability-owned-by-local-toolchain"
"cpp:S946","DirectX11/IniHandler.cpp","1","reviewed-rule-file-compatibility-boundary"
"cpp:S954","**/*","7","maintainability-owned-by-local-toolchain"
"cpp:S955","DirectX11/HackerDevice.cpp","1","reviewed-rule-file-compatibility-boundary"
"cpp:S955","DirectX11/Hunting.cpp","1","reviewed-rule-file-compatibility-boundary"
"cpp:S955","DirectXTK/Inc/Model.h","1","reviewed-rule-file-compatibility-boundary"
"cpp:S955","HLSLDecompiler/DecompileHLSL.cpp","2","reviewed-rule-file-compatibility-boundary"
"cpp:S955","util.cpp","2","reviewed-rule-file-compatibility-boundary"
"cpp:S955","util.h","3","reviewed-rule-file-compatibility-boundary"
"cpp:S999","**/*","1","maintainability-owned-by-local-toolchain"
"cppsecurity:S2083","DirectX11/ShaderRegex.cpp","1","reviewed-rule-file-compatibility-boundary"
"cppsecurity:S5334","DirectX11/D3D11Wrapper.cpp","1","reviewed-rule-file-compatibility-boundary"
"cppsecurity:S6390","DirectX11/D3D11Wrapper.cpp","1","reviewed-rule-file-compatibility-boundary"
